scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
F674,7,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r7/simulation_1,6035,15.642,21.116,19.589,1.9
F674,8,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r8/simulation_1,5958,14.401,17.314,17.889,2.1
F674,9,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r9/simulation_1,5873,13.996,18.155,18.298,2.1
F705,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r0/simulation_1,5931,10.757,14.661,16.743,2.1
F705,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r1/simulation_1,5993,12.898,17.05,17.813,2.1
F705,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r3/simulation_1,6099,13.133,17.101,17.888,2.0
F705,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r2/simulation_1,6080,14.556,18.672,18.221,2.1
F705,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r4/simulation_1,6011,13.758,16.416,17.28,2.0
F705,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r5/simulation_1,6061,13.496,18.959,18.377,2.5
F705,6,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r6/simulation_1,5959,12.234,16.367,17.07,2.5
F705,9,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r9/simulation_1,5873,12.208,14.837,16.574,2.5
F705,7,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r7/simulation_1,6035,14.018,19.696,18.667,2.5
F705,8,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F705_r8/simulation_1,5958,12.336,13.919,16.084,2.5
F736,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r0/simulation_1,5931,8.902,12.882,15.665,1.7
